nombre_normalizado,veredicto,categoria,metodo,razon
arbitro de futbol,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
arqueologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
arquitectura,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
arquitectura (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
arquitectura del paisaje,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"arquitectura, licenciatura en arquitectura",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
arritmologia y electrofisiologia cardiaca,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
arsenaleria quirurgica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
arte,EXCLUIR,,lexico,Arte sin mención musical explícita
arte y cultura visual,EXCLUIR,,lexico,Arte sin mención musical explícita
arte-terapia,EXCLUIR,,lexico,Terapia no musical
artes culinarias y gastronomia,EXCLUIR,,lexico,Arte sin mención musical explícita
artes culinarias y gastronomia internacional,EXCLUIR,,lexico,Arte sin mención musical explícita
artes escenicas,EXCLUIR,,lexico,Artes visuales/plásticas
artes musicales y sonoras,INCLUIR,Producción musical y sonido,lexico,Nombre con 'música'/'musical' (se incluye automáticamente)
artes plasticas,EXCLUIR,,lexico,Artes visuales/plásticas
