nombre_normalizado,nombre_original,veredicto,categoria,metodo,razon
administracion publica mencion gestion municipal,ADMINISTRACION PUBLICA MENCION GESTION MUNICIPAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica mencion gestion y desarrollo regional y local,ADMINISTRACION PUBLICA MENCION GESTION Y DESARROLLO REGIONAL Y LOCAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica mencion gobiernos locales,ADMINISTRACION PUBLICA MENCION GOBIERNOS LOCALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica plan continuidad,ADMINISTRACION PUBLICA PLAN CONTINUIDAD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica plan de continuidad,ADMINISTRACION PUBLICA PLAN DE CONTINUIDAD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica prosecucion de estudios,ADMINISTRACION PUBLICA PROSECUCION DE ESTUDIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica vespertino,ADMINISTRACION PUBLICA VESPERTINO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica y ciencia politica,ADMINISTRACION PUBLICA Y CIENCIA POLITICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica y municipal,ADMINISTRACION PUBLICA Y MUNICIPAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion publica, licenciatura en ciencias politicas y gubernamentales con mencion en gestion publica o ciencias politica","ADMINISTRACION PUBLICA, LICENCIATURA EN CIENCIAS POLITICAS Y GUBERNAMENTALES CON MENCION EN GESTION PUBLICA O CIENCIAS POLITICA",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion publica, licenciatura en ciencias politicas y gubernamentales con, mencion gestion publica o ciencias politica","ADMINISTRACION PUBLICA, LICENCIATURA EN CIENCIAS POLITICAS Y GUBERNAMENTALES CON, MENCION GESTION PUBLICA O CIENCIAS POLITICA",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion publica, mencion gestion y desarrollo regional y local","ADMINISTRACION PUBLICA, MENCION GESTION Y DESARROLLO REGIONAL Y LOCAL",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion publica, mencion seguridad publica y gestion de riesgos","ADMINISTRACION PUBLICA, MENCION SEGURIDAD PUBLICA Y GESTION DE RIESGOS",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion sistemas logisticos,ADMINISTRACION SISTEMAS LOGISTICOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion turistica,ADMINISTRACION TURISTICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion turistica internacional,ADMINISTRACION TURISTICA INTERNACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion turistica multilingue,ADMINISTRACION TURISTICA MULTILINGÜE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y comercializacion,ADMINISTRACION Y COMERCIALIZACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y gestion de empresas,ADMINISTRACION Y GESTION DE EMPRESAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y gestion de la educacion,ADMINISTRACION Y GESTION DE LA EDUCACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y gestion del riesgo,ADMINISTRACION Y GESTION DEL RIESGO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y gestion educacional,ADMINISTRACION Y GESTION EDUCACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y gestion empresarial,ADMINISTRACION Y GESTION EMPRESARIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y gestion en salud,ADMINISTRACION Y GESTION EN SALUD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y gestion publica,ADMINISTRACION Y GESTION PUBLICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y produccion agropecuaria mencion ganaderia,ADMINISTRACION Y PRODUCCION AGROPECUARIA MENCION GANADERIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion y produccion agropecuaria mencion vides, frutales y cultivos","ADMINISTRACION Y PRODUCCION AGROPECUARIA MENCION VIDES, FRUTALES Y CULTIVOS",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y soporte de redes,ADMINISTRACION Y SOPORTE DE REDES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y soporte de redes computacionales,ADMINISTRACION Y SOPORTE DE REDES COMPUTACIONALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion, mencion en informatica","ADMINISTRACION, MENCION EN INFORMATICA",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion, mencion gestion empresarial","ADMINISTRACION, MENCION GESTION EMPRESARIAL",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion, mencion gestion municipal","ADMINISTRACION, MENCION GESTION MUNICIPAL",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion, mencion marketing y ventas","ADMINISTRACION, MENCION MARKETING Y VENTAS",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administrador de programas sociales,ADMINISTRADOR DE PROGRAMAS SOCIALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administrador mencion gestion publica,ADMINISTRADOR MENCION GESTION PUBLICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administrador turistico,ADMINISTRADOR TURISTICO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administrador universitario de empresas,ADMINISTRADOR UNIVERSITARIO DE EMPRESAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
adminstracion de empresas mencion marketing,ADMINSTRACION DE EMPRESAS MENCION MARKETING,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
advance administracion publica,ADVANCE ADMINISTRACION PUBLICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
advance ingenieria comercial,ADVANCE INGENIERIA COMERCIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
advance psicologia,ADVANCE PSICOLOGIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
advance trabajo social,ADVANCE TRABAJO SOCIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
advanced diploma in tourism business,ADVANCED DIPLOMA IN TOURISM BUSINESS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agente de ventas mencion visitador medico,AGENTE DE VENTAS MENCION VISITADOR MEDICO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agente de ventas visitador medico,AGENTE DE VENTAS VISITADOR MEDICO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agricola,AGRICOLA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agricultura ecologica,AGRICULTURA ECOLOGICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agroindustrias,AGROINDUSTRIAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronegocios con mencion en agroindustria,AGRONEGOCIOS CON MENCION EN AGROINDUSTRIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia,AGRONOMIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia (pce),AGRONOMIA (PCE),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia (plan de continuidad de estudios),AGRONOMIA (PLAN DE CONTINUIDAD DE ESTUDIOS),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia (plan de continuidad),AGRONOMIA (PLAN DE CONTINUIDAD),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia (plan especial),AGRONOMIA (PLAN ESPECIAL),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia continuidad de estudios,AGRONOMIA CONTINUIDAD DE ESTUDIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia e ingenieria forestal,AGRONOMIA E INGENIERIA FORESTAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia mencion zonas aridas y deserticas,AGRONOMIA MENCION ZONAS ARIDAS Y DESERTICAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia para ingenieros agricolas pce,AGRONOMIA PARA INGENIEROS AGRICOLAS PCE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia para ingenieros de ejecucion,AGRONOMIA PARA INGENIEROS DE EJECUCION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia plan especial,AGRONOMIA PLAN ESPECIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia programa de continuidad de estudios,AGRONOMIA PROGRAMA DE CONTINUIDAD DE ESTUDIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia y desarrollo rural sustentable,AGRONOMIA Y DESARROLLO RURAL SUSTENTABLE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"agronomia, adm. compl. para ingenieros de ejec. agricola","AGRONOMIA, ADM. COMPL. PARA INGENIEROS DE EJEC. AGRICOLA",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"agronomia, adm.compl.para ingenieros de ejec.agricola","AGRONOMIA, ADM.COMPL.PARA INGENIEROS DE EJEC.AGRICOLA",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"agronomia, adm.compl.para tecnicos universitarios en agricola","AGRONOMIA, ADM.COMPL.PARA TECNICOS UNIVERSITARIOS EN AGRICOLA",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"agronomia, plan continuidad de estudios","AGRONOMIA, PLAN CONTINUIDAD DE ESTUDIOS",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
alimentacion y nutricion,ALIMENTACION Y NUTRICION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis computacional de sistemas,ANALISIS COMPUTACIONAL DE SISTEMAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis computacional de sistemas (modulos),ANALISIS COMPUTACIONAL DE SISTEMAS (MODULOS),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis de datos,ANALISIS DE DATOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis de sistemas,ANALISIS DE SISTEMAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis de sistemas (4 semestres),ANALISIS DE SISTEMAS (4 SEMESTRES),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis de sistemas (5 semestres),ANALISIS DE SISTEMAS (5 SEMESTRES),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis de sistemas computacionales,ANALISIS DE SISTEMAS COMPUTACIONALES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis de sistemas con salida intermedia a programacion de microcomputadores,ANALISIS DE SISTEMAS CON SALIDA INTERMEDIA A PROGRAMACION DE MICROCOMPUTADORES,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis de sistemas rev,ANALISIS DE SISTEMAS REV,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis quimico,ANALISIS QUIMICO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis tributario,ANALISIS TRIBUTARIO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis y gestion de procesos productivos,ANALISIS Y GESTION DE PROCESOS PRODUCTIVOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis y programacion,ANALISIS Y PROGRAMACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista de sistemas,ANALISTA DE SISTEMAS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista en computacion cientifica / licenciatura en ciencia de la computacion,ANALISTA EN COMPUTACION CIENTIFICA / LICENCIATURA EN CIENCIA DE LA COMPUTACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista financiero,ANALISTA FINANCIERO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador,ANALISTA PROGRAMADOR,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador administracion de sistemas operativos,ANALISTA PROGRAMADOR ADMINISTRACION DE SISTEMAS OPERATIVOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador computacional,ANALISTA PROGRAMADOR COMPUTACIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador computacional pev,ANALISTA PROGRAMADOR COMPUTACIONAL PEV,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador computacional.pev,ANALISTA PROGRAMADOR COMPUTACIONAL.PEV,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador en computacion,ANALISTA PROGRAMADOR EN COMPUTACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador mencion administracion de base de datos,ANALISTA PROGRAMADOR MENCION ADMINISTRACION DE BASE DE DATOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador mencion aplicaciones moviles y web,ANALISTA PROGRAMADOR MENCION APLICACIONES MOVILES Y WEB,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"analista programador visual basic, net y java","ANALISTA PROGRAMADOR VISUAL BASIC, NET Y JAVA",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista quimico,ANALISTA QUIMICO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analitica de datos,ANALITICA DE DATOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
anestesiologia y reanimacion,ANESTESIOLOGIA Y REANIMACION,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
animacion,ANIMACION,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
animacion 3d,ANIMACION 3D,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
animacion digital,ANIMACION DIGITAL,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
animacion digital 3d,ANIMACION DIGITAL 3D,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
animacion digital y diseno de videojuegos,ANIMACION DIGITAL Y DISEÑO DE VIDEOJUEGOS,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
animacion digital y multimedia,ANIMACION DIGITAL Y MULTIMEDIA,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
animacion digital y videojuegos,ANIMACION DIGITAL Y VIDEOJUEGOS,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
animacion y comics,ANIMACION Y COMICS,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
animacion y diseno digital,ANIMACION Y DISEÑO DIGITAL,EXCLUIR,,lexico,Artes visuales/plásticas
antropologia,ANTROPOLOGIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
antropologia social,ANTROPOLOGIA SOCIAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
antropologia social o fisica - arqueologia,ANTROPOLOGIA SOCIAL O FISICA - ARQUEOLOGIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
antropologia social o fisica-arqueologia,ANTROPOLOGIA SOCIAL O FISICA-ARQUEOLOGIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
antropologia sociocultural,ANTROPOLOGIA SOCIOCULTURAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"antropologia, mencion antropologia social y arqueologia","ANTROPOLOGIA, MENCION ANTROPOLOGIA SOCIAL Y ARQUEOLOGIA",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
antropologia-arqueologia,ANTROPOLOGIA-ARQUEOLOGIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
arbitro de futbol,ARBITRO DE FUTBOL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
arqueologia,ARQUEOLOGIA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
arquitectura,ARQUITECTURA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
arquitectura (pce),ARQUITECTURA (PCE),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
arquitectura del paisaje,ARQUITECTURA DEL PAISAJE,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"arquitectura, licenciatura en arquitectura","ARQUITECTURA, LICENCIATURA EN ARQUITECTURA",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
arritmologia y electrofisiologia cardiaca,ARRITMOLOGIA Y ELECTROFISIOLOGIA CARDIACA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
arsenaleria quirurgica,ARSENALERIA QUIRURGICA,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
